SizeOfDocument,BodyNumChars,BodyNumWords,BodyNumUniqueWords,BodyRichness,BodyNumFunctionWords,BodyVerifyYourAccountPhrase,SubjectNumChars,SubjectNumWords,SubjectRichness
789.0,607.0,108.0,52.0,0.17792421746293247,51.0,0.0,46.0,9.0,0.1956521739130435
357.0,251.0,51.0,32.0,0.20318725099601595,24.0,0.0,40.0,8.0,0.2
493.0,388.0,75.0,43.0,0.19329896907216496,33.0,0.0,19.0,2.0,0.10526315789473684
789.0,588.0,127.0,58.0,0.21598639455782312,35.0,0.0,37.0,6.0,0.16216216216216217
357.0,243.0,51.0,31.0,0.20987654320987653,26.0,0.0,44.0,9.0,0.20454545454545456
325.0,233.0,49.0,33.0,0.21030042918454936,27.0,0.0,29.0,7.0,0.2413793103448276
799.0,601.0,119.0,56.0,0.19800332778702162,48.0,0.0,43.0,10.0,0.23255813953488372
363.0,251.0,51.0,33.0,0.20318725099601595,26.0,0.0,43.0,9.0,0.20930232558139536
518.0,399.0,82.0,55.0,0.20551378446115287,31.0,0.0,18.0,4.0,0.2222222222222222
353.0,245.0,51.0,32.0,0.20816326530612245,24.0,0.0,39.0,8.0,0.20512820512820512
346.0,247.0,51.0,31.0,0.20647773279352227,27.0,0.0,35.0,6.0,0.17142857142857143
1030.0,778.0,173.0,64.0,0.22236503856041132,60.0,0.0,18.0,4.0,0.2222222222222222
972.0,760.0,153.0,50.0,0.2013157894736842,66.0,0.0,35.0,5.0,0.14285714285714285
784.0,585.0,124.0,55.0,0.21196581196581196,48.0,0.0,41.0,9.0,0.21951219512195122
789.0,552.0,117.0,59.0,0.21195652173913043,36.0,0.0,68.0,14.0,0.20588235294117646
782.0,606.0,110.0,46.0,0.18151815181518152,58.0,0.0,44.0,6.0,0.13636363636363635
1108.0,873.0,181.0,47.0,0.2073310423825888,87.0,0.0,24.0,3.0,0.125
750.0,586.0,111.0,50.0,0.189419795221843,53.0,0.0,35.0,7.0,0.2
749.0,575.0,117.0,61.0,0.20347826086956522,41.0,0.0,33.0,7.0,0.21212121212121213
693.0,510.0,105.0,70.0,0.20588235294117646,31.0,0.0,39.0,6.0,0.15384615384615385
1204.0,957.0,197.0,45.0,0.2058516196447231,84.0,0.0,23.0,4.0,0.17391304347826086
697.0,497.0,97.0,64.0,0.19517102615694165,24.0,0.0,60.0,9.0,0.15
324.0,251.0,55.0,32.0,0.21912350597609562,27.0,0.0,13.0,2.0,0.15384615384615385
783.0,607.0,126.0,45.0,0.20757825370675453,43.0,0.0,30.0,6.0,0.2
505.0,379.0,81.0,41.0,0.21372031662269128,40.0,0.0,31.0,5.0,0.16129032258064516
685.0,514.0,115.0,38.0,0.2237354085603113,52.0,0.0,35.0,6.0,0.17142857142857143
345.0,249.0,57.0,34.0,0.2289156626506024,30.0,0.0,27.0,7.0,0.25925925925925924
676.0,542.0,108.0,52.0,0.1992619926199262,45.0,0.0,11.0,3.0,0.2727272727272727
